"";"X";"Reactivo";"Campo.de.conocimiento";"Dificultad";"Discriminación";"Prob..Acertar.al.azar";"Prop..Aciertos";"Definición.Operacional";"Cuartil.de.Discriminación"
"2";79;"EAES301567";"Matemática";1,83568791505478;0,84289961203942;0,175476482852667;0,198689956331878;"Aplica propiedades de los logaritmos en ecuaciones.";"Q3"
"48";97;"EAES301947";"Matemática";2,01015441574342;0,808354167890575;0,16452791285827;0,187347931873479;"Identifica si dos rectas son paralelas o perpendiculares.";"Q2"
"65";29;"EAES301496";"Matemática";0,665822144557902;0,808354167890575;0,368601728112665;0,389294403892944;"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R.";"Q2"
"44";16;"EAES301479";"Matemática";1,86981954925068;0,808354167890575;0,180720089986225;0,204379562043796;"Emplea técnicas de factorización para la descomposición de expresiones algebraicas.";"Q2"
"77";103;"EAES302130";"Matemática";1,21684548200772;0,876522303051486;0,256051692686988;0,28436018957346;"Interpreta gráficos estadísticos de un conjunto de datos a partir de las medidas de tendencia central y dispersión con datos no agrupados.";"Q4"
"90";66;"EAES301549";"Matemática";0,393630247070316;0,876522303051486;0,414589195592545;0,433649289099526;"Determina los ceros, la monotonía, máximos y mínimos, la paridad de una función cuadrática a través de la parábola que le representa.";"Q4"
"66";40;"EAES301512";"Matemática";1,52821049607192;1,17912667105979;0,141613401980699;0,181818181818182;"Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier método.";"Q4"
"19";100;"EAES301953";"Matemática";0,504377616884515;0,801989608888929;0,400230302178384;0,417748917748918;"Interpreta gráficos estadísticos de un conjunto de datos a partir de las medidas de tendencia central y dispersión con datos no agrupados.";"Q2"
"17";56;"EAES301877";"Lengua y Literatura";2,19471470235589;0,801989608888929;0,146773008809011;0,168831168831169;"Selecciona un vocabulario preciso para expresar matices en función de producir determinados efectos en los lectores.";"Q2"
"31";136;"EAES302147";"Lengua y Literatura";1,41676907531893;0,860113251357949;0,228186113895798;0,261363636363636;"Analiza los significados connotativos del discurso.";"Q3"
"99";107;"EAES302079";"Lengua y Literatura";-0,698204944992904;0,876522303051486;0,648395117240412;0,639810426540284;"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural";"Q4"
"75";112;"EAES302085";"Lengua y Literatura";-0,525781525448098;0,84289961203942;0,609016748231759;0,602620087336245;"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural";"Q3"
"161";54;"EAES301873";"Lengua y Literatura";1,40840673466536;0,824278623521482;0,238500235630671;0,268472906403941;"Identifica la idea principal de un texto argumentativo.";"Q2"
"40";43;"EAES301843";"Lengua y Literatura";0,189218843332607;0,860113251357949;0,459402162902735;0,477272727272727;"Interpreta los aspectos formales (estructura) o el contenido de un texto, en función del contexto sociocultural y el punto de vista del autor.";"Q3"
"9";106;"EAES302078";"Lengua y Literatura";-0,446466053908967;0,808354167890575;0,589258933606904;0,588807785888078;"Interpreta un texto literario desde las características del género al que pertenece";"Q2"
"501";42;"EAES301841";"Lengua y Literatura";1,52486886018396;0,808354167890575;0,225720729415952;0,250608272506083;"Interpreta los aspectos formales (estructura) o el contenido de un texto, en función del contexto sociocultural y el punto de vista del autor.";"Q2"
"92";10;"EAES301729";"Lengua y Literatura";0,32636169922836;0,808354167890575;0,434425922686325;0,450121654501217;"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana.";"Q2"
"122";19;"EAES301741";"Lengua y Literatura";1,42448787003056;0,808354167890575;0,240216904700814;0,265206812652068;"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana.";"Q2"
"126";135;"EAES302146";"Lengua y Literatura";-0,177183984139327;0,84289961203942;0,537267832281473;0,539301310043668;"Analiza los significados connotativos del discurso.";"Q3"
"14";12;"EAES301731";"Lengua y Literatura";0,615657345093069;0,860113251357949;0,370625338909016;0,397727272727273;"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana.";"Q3"
"116";27;"EAES301753";"Lengua y Literatura";0,56050896960988;1,17912667105979;0,340534980795628;0,373737373737374;"Valora el contenido de un texto oral con contradicciones, ambigüedades, falacias, distorsiones o desviaciones en el discurso.";"Q4"
"140";22;"EAES301744";"Lengua y Literatura";0,728535018046618;0,832849824254441;0,352798579745197;0,37;"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana.";"Q3"
"15";49;"EAES301854";"Lengua y Literatura";0,0125824918473742;0,832849824254441;0,497380192443806;0,5;"Organiza la información presentada mediante el uso de esquemas.";"Q3"
"651";70;"EAES301897";"Lengua y Literatura";0,55375724993767;0,860113251357949;0,383127636329201;0,409090909090909;"Aplica estrategias cognitivas y metacognitivas para la comprensión de textos argumentativos.";"Q3"
"128";2;"EAES301720";"Lengua y Literatura";-0,370226699412632;0,876522303051486;0,58042345590761;0,580568720379147;"Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito, formas de lectura y escritura).";"Q4"
"67";8;"EAES301727";"Lengua y Literatura";0,73979764136974;0,860113251357949;0,346081200103386;0,375;"Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito, formas de lectura y escritura).";"Q3"
"120";110;"EAES302083";"Lengua y Literatura";-0,482981208686175;0,904924006185907;0,607558572704867;0,612244897959184;"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural";"Q4"
"73";82;"EAES302043";"Lengua y Literatura";1,13246702191675;0,860113251357949;0,274074009164178;0,306818181818182;"Valora el contenido de un texto oral con contradicciones, ambigüedades, falacias, distorsiones o desviaciones en el discurso.";"Q3"
"102";97;"EAES302061";"Lengua y Literatura";1,29535521949175;0,808354167890575;0,25978125563742;0,284671532846715;"Reconoce párrafos sobre diferentes temas de la cotidianidad y académicos escritos con coherencia, cohesión y precisión.";"Q2"
"144";136;"EAES302147";"Lengua y Literatura";1,41676907531893;0,860113251357949;0,228186113895798;0,261363636363636;"Analiza los significados connotativos del discurso.";"Q3"
"84";41;"EAES301840";"Lengua y Literatura";0,425185177278476;0,904924006185907;0,404979291848799;0,435374149659864;"Interpreta los aspectos formales (estructura) o el contenido de un texto, en función del contexto sociocultural y el punto de vista del autor.";"Q4"
"5";132;"EAES302117";"Lengua y Literatura";0,961746741825191;0,832849824254441;0,309813658764695;0,33;"Interpreta un texto literario desde las características del género al que pertenece";"Q3"
"41";119;"EAES302031";"Ciencias Naturales";0,326373220887801;0,808354167890575;0,434423634340389;0,450121654501217;"Diferencia las estructuras encargadas de un proceso fisiológico de los sistemas nervioso, endocrino, reproductivo, osteoartromuscular o inmunitario del cuerpo humano.";"Q2"
"108";6;"EAES301586";"Ciencias Naturales";0,213876993943025;0,801989608888929;0,4572230472992;0,46969696969697;"Identifica la configuración electrónica de los átomos desde el modelo mecánico-cuántico de la materia.";"Q2"
"159";185;"EAES302333";"Ciencias Naturales";1,86991972897193;0,808354167890575;0,180708100267042;0,204379562043796;"Analiza las características del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje, empleando los conceptos de aceleración normal o centrípeta.";"Q2"
"117";202;"EAES302357";"Ciencias Naturales";-0,458393751816861;0,904924006185907;0,6022410256607;0,607709750566893;"Reconoce las tres leyes de Kepler";"Q4"
"72";104;"EAES302003";"Ciencias Naturales";0,101321956993115;0,876522303051486;0,477811843189204;0,490521327014218;"Diferencia los procesos fisiológicos que realizan las plantas, sus estructuras y funciones.";"Q4"
"36";871;"EAES301809";"Ciencias Naturales";-0,0089535898711961;0,876522303051486;0,501961995233455;0,511848341232227;"Reconoce las tres leyes de Kepler";"Q4"
"491";179;"EAES302237";"Ciencias Naturales";-0,520093251346229;0,904924006185907;0,615536376778587;0,619047619047619;"Relaciona la estructura de la célula animal, vegetal y procariota con los organelos y sus procesos vitales.";"Q4"
"186";217;"EAES302378";"Ciencias Naturales";1,84108113965107;0,832849824254441;0,177504930281246;0,2;"Reconoce grupos funcionales desde la estructura de las biomoléculas (proteínas, lípidos, ácidos nucléicos, azúcares)";"Q3"
"157";194;"EAES302343";"Ciencias Naturales";1,55491347974696;0,904924006185907;0,196695256992029;0,233560090702948;"Reconoce el teorema de conservación de la energía";"Q4"
"64";198;"EAES302351";"Ciencias Naturales";1,46852908929584;0,84289961203942;0,224815221176485;0,248908296943231;"Reconoce la ley de gravitación universal de Newton.";"Q3"
"129";45;"EAES301653";"Ciencias Naturales";1,57006522288812;0,904924006185907;0,194537811598944;0,231292517006803;"Identifica la Ley de Coulomb y sus aplicaciones";"Q4"
"531";5;"EAES301584";"Ciencias Naturales";2,27727496844372;0,824278623521482;0,132721284017772;0,157635467980296;"Reconoce las propiedades y leyes de los gases y su aplicación.";"Q2"
"106";52;"EAES301663";"Ciencias Naturales";1,68458587200976;0,824278623521482;0,199636446120954;0,229064039408867;"Reconoce las leyes de Newton y su aplicación";"Q2"
"88";193;"EAES302342";"Ciencias Naturales";1,88637852560742;1,17912667105979;0,0975912947419437;0,131313131313131;"Reconoce el teorema de conservación de la energía";"Q4"
"183";143;"EAES302180";"Ciencias Naturales";0,957290222132933;0,801989608888929;0,316968882742955;0,33982683982684;"Discrimina grupos funcionales desde la estructura de los compuestos orgánicos oxigenados o nitrogenados.";"Q2"
"175";55;"EAES301671";"Ciencias Naturales";1,27498063453707;0,876522303051486;0,24646620888802;0,274881516587678;"Identifica la capacidad que tienen los materiales para conducir la electricidad.";"Q4"
"1021";205;"EAES302361";"Ciencias Naturales";1,54085914609724;0,832849824254441;0,21698828884472;0,24;"Reconoce las tres leyes de Kepler";"Q3"
"502";1331;"EAES302164";"Ciencias Naturales";1,81754425367466;0,860113251357949;0,173174502142756;0,204545454545455;"Discrimina entre los tipos de compuestos binarios, ternarios  o cuaternario de acuerdo a su enlace químico o número de oxidación y emite su nomenclatura.";"Q3"
"80";35;"EAES301634";"Ciencias Naturales";0,323423690508918;0,84289961203942;0,432265547563713;0,445414847161572;"Identifica reacciones ácido-base o el balance del pH en las soluciones cotidianas.";"Q3"
"30";163;"EAES302218";"Ciencias Naturales";1,85854759616574;0,801989608888929;0,183841311426748;0,207792207792208;"Relaciona teorías de evolución biológica con sus postulados.";"Q2"
"93";23;"EAES301616";"Ciencias Naturales";1,3794138032681;0,876522303051486;0,229862642074825;0,258293838862559;"Reconoce la masa molecular (molar) de los compuestos químicos de una ecuación para cumplir las leyes de transformación de la materia.";"Q4"
"130";80;"EAES301715";"Ciencias Naturales";-0,557517882858099;0,904924006185907;0,623518920056849;0,625850340136054;"Identifica las estrategias de conservación de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana.";"Q4"
"182";25;"EAES301619";"Ciencias Naturales";0,976618920803329;1,17912667105979;0,240204729462603;0,282828282828283;"Reconoce la masa molecular (molar) de los compuestos químicos de una ecuación para cumplir las leyes de transformación de la materia.";"Q4"
"1261";211;"EAES302370";"Ciencias Naturales";1,81817955223693;0,84289961203942;0,177621942653668;0,200873362445415;"Reconoce, relaciona y expresa magntitudes físicas básicas (longitud, masa, tiempo) y derivadas.";"Q3"
"78";103;"EAES302000";"Ciencias Naturales";0,978766628712399;0,824278623521482;0,308577848371396;0,33743842364532;"Diferencia los procesos fisiológicos que realizan las plantas, sus estructuras y funciones.";"Q2"
"164";121;"EAES302033";"Ciencias Naturales";1,64957622755809;0,860113251357949;0,194846264824743;0,227272727272727;"Diferencia las estructuras encargadas de un proceso fisiológico de los sistemas nervioso, endocrino, reproductivo, osteoartromuscular o inmunitario del cuerpo humano.";"Q3"
"1161";12;"EAES301597";"Ciencias Naturales";1,42552952035669;0,824278623521482;0,235946358961799;0,266009852216749;"Identifica los tipos de enlaces químicos de acuerdo a las propiedades de los átomos de ceder o ganar electrones.";"Q2"
"100";99;"EAES301996";"Ciencias Naturales";1,70064763445946;0,808354167890575;0,201857426951452;0,226277372262774;"Reconoce los procesos de divisón celular (mitosis y meiosis)";"Q2"
"113";107;"EAES302008";"Ciencias Naturales";0,0049908020544002;0,808354167890575;0,498991417457514;0,508515815085158;"Diferencia los procesos fisiológicos que realizan las plantas, sus estructuras y funciones.";"Q2"
"121";108;"EAES302011";"Ciencias Naturales";1,61225747385348;0,824278623521482;0,209333204620485;0,238916256157635;"Discrimina las estructuras encargados de un proceso fisiológico de los sistemas: digestivo, excretor, circulatorio o respiratorio del ser humano.";"Q2"
"731";212;"EAES302373";"Ciencias Naturales";1,12803954251606;1,17912667105979;0,20914257466685;0,252525252525253;"Reconoce grupos funcionales desde la estructura de las biomoléculas (proteínas, lípidos, ácidos nucléicos, azúcares)";"Q4"
"27";101;"EAES302298";"Ciencias Sociales";2,29651742025398;0,84289961203942;0,126117309619645;0,146288209606987;"Relaciona los antecedentes históricos de las comunidad afrodescendiente, indigena y mestiza con sus características culturales.";"Q3"
"411";10;"EAES301770";"Ciencias Sociales";0,580168670980927;0,876522303051486;0,375538008185006;0,398104265402844;"Reconoce el impacto de los aportes tecnológicos, económicos y científicos de las culturas de Mesopotamia, Egipto, China o India en la sociedad actual .";"Q4"
"151";35;"EAES301759";"Ciencias Sociales";-0,0146694408981962;0,801989608888929;0,502941150868718;0,510822510822511;"Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.";"Q2"
"57";109;"EAES302309";"Ciencias Sociales";0,493060345594482;0,860113251357949;0,395539005541638;0,420454545454545;"Identifica los procesos históricos que propiciaron el reconocimiento de los derechos humanos.";"Q3"
"38";98;"EAES302295";"Ciencias Sociales";1,99856200661962;0,860113251357949;0,152001346889672;0,181818181818182;"Reconoce el impacto de la conquista en los aspectos ecológicos, culturales o sociales.";"Q3"
"62";122;"EAES302324";"Ciencias Sociales";1,47077541046698;0,832849824254441;0,227069141076307;0,25;"Reconoce las caractrerísticas de la democracia deliberativa y los principios de la participación política.";"Q3"
"6";8;"EAES301765";"Ciencias Sociales";2,09491023045932;0,860113251357949;0,141624793088745;0,170454545454545;"Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.";"Q3"
"4";61;"EAES301763";"Ciencias Sociales";-0,735130224925944;0,808354167890575;0,644338685154276;0,637469586374696;"Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.";"Q2"
"35";1;"EAES301755";"Ciencias Sociales";0,722714000375425;0,824278623521482;0,355324026178277;0,381773399014778;"Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.";"Q2"
"771";191;"EAES301783";"Ciencias Sociales";0,322394915291686;0,801989608888929;0,435718371117154;0,45021645021645;"Reconoce la influencia de la civilización griega en el imperio romano, imperio bizantino, Europa del Renacimiento o en la cultura occidental.";"Q2"
"931";1001;"EAES302297";"Ciencias Sociales";0,6797665602973;0,808354167890575;0,365982246223378;0,386861313868613;"Relaciona los antecedentes históricos de las comunidad afrodescendiente, indigena y mestiza con sus características culturales.";"Q2"
"71";781;"EAES302271";"Ciencias Sociales";1,53305487105183;0,801989608888929;0,2262699864528;0,251082251082251;"Distingue las causas o consecuencias de la Revolución francesa.";"Q2"
"25";961;"EAES302293";"Ciencias Sociales";0,948259383484696;0,808354167890575;0,317230339079903;0,340632603406326;"Reconoce el impacto de la conquista en los aspectos ecológicos, culturales o sociales.";"Q2"
"311";401;"EAES301966";"Ciencias Sociales";-0,0700243268747754;0,876522303051486;0,515339655681464;0,523696682464455;"Reconoce el concepto de la igualdad natural de los seres humanos.";"Q4"
"37";682;"EAES302255";"Ciencias Sociales";1,17212569540027;0,824278623521482;0,275646925367899;0,305418719211823;"Reconoce la contribución del Renacimiento al pensamiento humanista o científico del mundo.";"Q2"
"28";381;"EAES301962";"Ciencias Sociales";0,139545131486451;0,904924006185907;0,468472449050656;0,492063492063492;"Relaciona los antecedentes históricos de las comunidad afrodescendiente, indigena y mestiza con sus características culturales.";"Q4"
