"";"item";"sc1";"sc2";"Campodeconocimiento";"Dffclt";"Dscrmn";"ProbSeleccAzar";"AlphaSiSustrae";"PropAciertos";"clusters.km";"Q";"Definición Operacional"
"11";"EAES301730";1,08846134299013;-0,15586521855895;"Lengua y Literatura";-0,130197379059228;0,84289961203942;0,527408327691433;0,86269757879549;0,53056768558952;4;"Q3";"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana."
"46";"EAES301843";0,749901521321665;-0,290986869853142;"Lengua y Literatura";0,189218843332607;0,860113251357949;0,459402162902735;0,853467466728736;0,477272727272727;4;"Q3";"Interpreta los aspectos formales (estructura) o el contenido de un texto, en función del contexto sociocultural y el punto de vista del autor."
"79";"EAES301903";0,535478893362821;-0,102619042156579;"Lengua y Literatura";0,421708097283052;0,824278623521482;0,413963329862092;0,867465482176477;0,435960591133005;4;"Q2";"Reconoce párrafos sobre diferentes temas de la cotidianidad y académicos escritos con coherencia, cohesión y precisión."
"126";"EAES302097";0,42501839824862;2,48989482183253;"Lengua y Literatura";0,428687045289335;1,17912667105979;0,376254576941665;0,913478158390214;0,404040404040404;4;"Q4";"Infiere el contenido implícito de un texto oral."
"104";"EAES302063";1,98212535183498;-0,206528844834948;"Lengua y Literatura";-1,021008606611;0,84289961203942;0,702787616850908;0,861769754406344;0,685589519650655;3;"Q3";"Selecciona un vocabulario preciso para expresar matices en función de producir determinados efectos en los lectores."
"38";"EAES301827";1,44043495326905;2,42340504878237;"Lengua y Literatura";-0,360613308268057;1,17912667105979;0,604728988414546;0,912700662775729;0,585858585858586;3;"Q4";"Aplica estrategias cognitivas y metacognitivas para la comprensión de textos argumentativos."
"12";"EAES301731";0,300186734714367;-0,311912945709345;"Lengua y Literatura";0,615657345093069;0,860113251357949;0,370625338909016;0,851924398093027;0,397727272727273;4;"Q3";"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana."
"97";"EAES302054";-0,867455823004818;-0,340343829024352;"Lengua y Literatura";1,9233614560149;0,832849824254441;0,167720244246917;0,854410052212286;0,19;2;"Q3";"Identifica la idea principal de un texto argumentativo."
"115";"EAES302080";1,65077880079953;-0,275811498295183;"Lengua y Literatura";-0,68753456975303;0,801989608888929;0,634459315745656;0,865625068910951;0,627705627705628;3;"Q2";"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural"
"51";"EAES301852";0,658733483536261;-0,13784181280924;"Lengua y Literatura";0,276923921524209;0,84289961203942;0,441908750162733;0,862819922369385;0,454148471615721;4;"Q3";"Organiza la información presentada mediante el uso de esquemas."
"17";"EAES301739";0,425354627653138;2,49667458477822;"Lengua y Literatura";0,428701854129264;1,17912667105979;0,376250478962682;0,913764562230967;0,404040404040404;4;"Q4";"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana."
"40";"EAES301832";0,828705653357892;0,816054290044604;"Lengua y Literatura";0,16237259609464;0,904924006185907;0,463332232212365;0,892343613842048;0,487528344671202;4;"Q4";"Aplica estrategias cognitivas y metacognitivas para la comprensión de textos argumentativos."
"29";"EAES301812";1,78762609471998;2,381472208185;"Lengua y Literatura";-0,648120068954842;1,17912667105979;0,682268298499269;0,911580777154821;0,646464646464647;3;"Q4";"Infiere el contenido implícito de un texto oral."
"70";"EAES301889";0,895970570022185;-0,135311577866956;"Lengua y Literatura";0,0725761638834973;0,824278623521482;0,485048713575744;0,866602250754889;0,5;4;"Q2";"Infiere el contenido implícito de un texto oral."
"811";"EAES301566";-0,937767941376738;-0,237110648359989;"Matemática";1,99795376815109;0,860113251357949;0,152068792111123;0,853853615475923;0,181818181818182;2;"Q3";"Aplica propiedades de los logaritmos en ecuaciones."
"511";"EAES301525";-0,357507404756237;0,529026816103949;"Matemática";1,30453776137424;0,876522303051486;0,241686319241674;0,883613113520167;0,270142180094787;5;"Q4";"Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier método."
"75";"EAES301557";0,428609454790396;0,855906462067029;"Matemática";0,528766153466443;0,904924006185907;0,382608000504585;0,89339301607343;0,414965986394558;4;"Q4";"Identifica gráficamente una de las siguientes propiedades de una función trigonométrica dada su gráfica: monotonía, periodicidad, paridad."
"117";"EAES302141";0,0475770993090319;-0,254908611671862;"Matemática";0,867617319463323;0,860113251357949;0,321639140170225;0,853985002727532;0,352272727272727;5;"Q3";"Identifica si dos rectas son paralelas o perpendiculares."
"381";"EAES301506";-0,46574505751214;0,530983132214108;"Matemática";1,42545170619893;0,876522303051486;0,222797055779295;0,883589733352747;0,251184834123223;5;"Q4";"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R."
"92";"EAES301863";-0,886407037164767;2,54831613785949;"Matemática";1,66167344980219;1,17912667105979;0,123540280845563;0,913997324383217;0,161616161616162;2;"Q4";"Identifica si dos rectas son paralelas o perpendiculares."
"87";"EAES301576";-1,36653353938541;-0,00976837064890495;"Matemática";2,7292693538532;0,824278623521482;0,0953772102538133;0,87001687083007;0,11576354679803;1;"Q2";"Aplica propiedades de los logaritmos en ecuaciones."
"14";"EAES301476";-0,746159245624982;-0,371794526533045;"Matemática";1,76330253905547;0,832849824254441;0,187160640846245;0,853137876508213;0,21;2;"Q3";"Emplea técnicas de factorización para la descomposición de expresiones algebraicas."
"701";"EAES301552";0,481735962137564;-0,0692688624578668;"Matemática";0,475694316700252;0,824278623521482;0,403210750312333;0,868796834319095;0,426108374384236;4;"Q2";"Determina los ceros, la monotonía, máximos y mínimos, la paridad de una función cuadrática a través de la parábola que le representa."
"80";"EAES301565";0,752092365178417;-0,363112147401702;"Matemática";0,175023555324624;0,832849824254441;0,463622306882755;0,855228317716519;0,47;4;"Q3";"Aplica propiedades de los logaritmos en ecuaciones."
"86";"EAES301573";-0,182896487199395;0,536048979149341;"Matemática";1,11776381478408;0,876522303051486;0,272942401387396;0,88410242646526;0,300947867298578;5;"Q4";"Aplica propiedades de los logaritmos en ecuaciones."
"26";"EAES301491";-0,52847041261523;-0,140566542253051;"Matemática";1,49291074230108;0,860113251357949;0,216857823258416;0,858174768528846;0,25;5;"Q3";"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R."
"100";"EAES301946";-0,668979550606143;0,884967925634045;"Matemática";1,66286623923445;0,904924006185907;0,181715532634658;0,893283213799522;0,217687074829932;2;"Q4";"Identifica si dos rectas son paralelas o perpendiculares."
"35";"EAES301501";0,500886906288414;-0,189095086009531;"Matemática";0,455579901645658;0,801989608888929;0,409660180797346;0,867719645482735;0,426406926406926;4;"Q2";"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R."
"68";"EAES301548";0,6098090822457;-0,219101676423304;"Matemática";0,346449049244515;0,801989608888929;0,430981314485167;0,866602164648104;0,445887445887446;4;"Q2";"Determina los ceros, la monotonía, máximos y mínimos, la paridad de una función cuadrática a través de la parábola que le representa."
"18";"EAES301480";-0,461247355694475;0,899396437469675;"Matemática";1,42264484893445;0,904924006185907;0,216295674877469;0,894067451571456;0,253968253968254;5;"Q4";"Emplea técnicas de factorización para la descomposición de expresiones algebraicas."
"72";"EAES301554";-0,594153896857519;-0,142177283425368;"Matemática";1,56967439490995;0,860113251357949;0,205854391760124;0,858052807500976;0,238636363636364;2;"Q3";"Identifica gráficamente una de las siguientes propiedades de una función trigonométrica dada su gráfica: monotonía, periodicidad, paridad."
"32";"EAES301497";-0,173831124560362;2,5353354525003;"Matemática";0,928132210431573;1,17912667105979;0,250793370634711;0,914313266165118;0,292929292929293;5;"Q4";"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R."
"217";"EAES302340";-0,449667981575076;-0,400573577272204;"Ciencias Naturales";1,40331661620543;0,832849824254441;0,23708064072692;0,852138312709969;0,26;5;"Q3";"Reconoce las leyes de Newton y su aplicación"
"88";"EAES301710";-0,15778314141531;-0,0552167042866996;"Ciencias Naturales";1,12741563734533;0,824278623521482;0,283065815419434;0,86857911829635;0,312807881773399;5;"Q2";"Identifica las estrategias de conservación de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana."
"31";"EAES301622";-0,616482785920956;-0,0927578713401504;"Ciencias Naturales";1,60552901921225;0,84289961203942;0,205331420518905;0,863186310879478;0,229257641921397;2;"Q3";"Reconoce la masa molecular (molar) de los compuestos químicos de una ecuación para cumplir las leyes de transformación de la materia."
"52";"EAES301653";-0,589471426194692;0,911464980707059;"Ciencias Naturales";1,57006522288812;0,904924006185907;0,194537811598944;0,894462528119785;0,231292517006803;2;"Q4";"Identifica la Ley de Coulomb y sus aplicaciones"
"159";"EAES302175";-0,869067587706983;-0,372973979941664;"Ciencias Naturales";1,92323565704391;0,832849824254441;0,167734869847991;0,853031494148308;0,19;2;"Q3";"Identifica la estructura del átomo de carbono y su capacidad de unirse consigo mismo con diferentes enlaces entre carbono-carbono, formando moléculas orgánicas."
"25";"EAES301613";0,232316095012489;-0,0616566492912375;"Ciencias Naturales";0,722708374474525;0,824278623521482;0,355325088442282;0,868780377262759;0,381773399014778;5;"Q2";"Reconoce la masa molecular (molar) de los compuestos químicos de una ecuación para cumplir las leyes de transformación de la materia."
"59";"EAES301663";-0,642199207204724;-0,0378219199445753;"Ciencias Naturales";1,68458587200976;0,824278623521482;0,199636446120954;0,868881804245755;0,229064039408867;2;"Q2";"Reconoce las leyes de Newton y su aplicación"
"56";"EAES301659";-0,139177268509505;-0,17610011574498;"Ciencias Naturales";1,11677589229804;0,801989608888929;0,289946754264094;0,867480866144659;0,313852813852814;5;"Q2";"Analiza las características del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje, empleando los conceptos de aceleración normal o centrípeta."
"401";"EAES301634";0,60830358074628;-0,166268161754383;"Ciencias Naturales";0,323423690508918;0,84289961203942;0,432265547563713;0,861547116884714;0,445414847161572;4;"Q3";"Identifica reacciones ácido-base o el balance del pH en las soluciones cotidianas."
"213";"EAES302336";-0,449777175564911;-0,391187668268797;"Ciencias Naturales";1,40434596778772;0,832849824254441;0,236925613757508;0,852535018366566;0,26;5;"Q3";"Analiza las características del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje, empleando los conceptos de aceleración normal o centrípeta."
"248";"EAES302378";-0,808432925649816;-0,402906759620009;"Ciencias Naturales";1,84108113965107;0,832849824254441;0,177504930281246;0,851792328513298;0,2;2;"Q3";"Reconoce grupos funcionales desde la estructura de las biomoléculas (proteínas, lípidos, ácidos nucléicos, azúcares)"
"30";"EAES301621";0,247018298435185;-0,431908200927169;"Ciencias Naturales";0,693575331826043;0,808354167890575;0,363396032210349;0,85601018908355;0,384428223844282;4;"Q2";"Reconoce la masa molecular (molar) de los compuestos químicos de una ecuación para cumplir las leyes de transformación de la materia."
"721";"EAES301685";-0,920604869402643;-0,0760524661979054;"Ciencias Naturales";1,99637025087961;0,84289961203942;0,156733026856351;0,863734864666156;0,179039301310044;2;"Q3";"Calcula, mediante ejercicios de aplicación, el trabajo mecánico con fuerzas constantes, energía mecánica, conservación de energía o potencia."
"173";"EAES302194";-1,46553063044204;-0,211353253962906;"Ciencias Naturales";2,8151623252505;0,860113251357949;0,0815584428451637;0,855062454031949;0,102272727272727;1;"Q3";"Reconoce disoluciones de diferentes concentraciones en soluciones de uso cotidiano."
"1361";"EAES302031";0,617896460638434;-0,427316617006433;"Ciencias Naturales";0,326373220887801;0,808354167890575;0,434423634340389;0,856703870057978;0,450121654501217;4;"Q2";"Diferencia las estructuras encargadas de un proceso fisiológico de los sistemas nervioso, endocrino, reproductivo, osteoartromuscular o inmunitario del cuerpo humano."
"37";"EAES301631";-1,31134739583603;2,55847499570323;"Ciencias Naturales";2,2613734343525;1,17912667105979;0,0649825919382681;0,914373183587666;0,0909090909090909;2;"Q4";"Identifica reacciones ácido-base o el balance del pH en las soluciones cotidianas."
"4";"EAES301581";-1,06395037103518;0,526288737189934;"Ciencias Naturales";2,18820011456881;0,876522303051486;0,128084065482983;0,883076064467447;0,151658767772512;2;"Q4";"Reconoce las propiedades y leyes de los gases y su aplicación."
"681";"EAES301679";-0,278656964965161;0,49186561367955;"Ciencias Naturales";1,21682491284632;0,876522303051486;0,25605512709492;0,88212922828479;0,28436018957346;5;"Q4";"Calcula, mediante ejercicios de aplicación, el trabajo mecánico con fuerzas constantes, energía mecánica, conservación de energía o potencia."
"10";"EAES301593";-0,516497654321268;-0,376976359920868;"Ciencias Naturales";1,52486936931768;0,808354167890575;0,225720657487194;0,85750774828671;0,250608272506083;5;"Q2";"Identifica la configuración electrónica de los átomos desde el modelo mecánico-cuántico de la materia."
"218";"EAES302341";-0,0474611593798912;-0,437867832132578;"Ciencias Naturales";0,961829299296729;0,832849824254441;0,309798956497083;0,850989369144785;0,33;5;"Q3";"Identifica la capacidad que tienen los materiales para conducir la electricidad."
"148";"EAES302162";-0,346586858888659;-0,384885295175539;"Ciencias Naturales";1,32717601244549;0,808354167890575;0,254865599281809;0,85731944911516;0,279805352798054;5;"Q2";"Discrimina entre los tipos de compuestos binarios, ternarios  o cuaternario de acuerdo a su enlace químico o número de oxidación y emite su nomenclatura."
"98";"EAES301809";0,987898034206397;0,425499532053458;"Ciencias Naturales";-0,0089535898711961;0,876522303051486;0,501961995233455;0,881127167630191;0,511848341232227;4;"Q4";"Reconoce las tres leyes de Kepler"
"111";"EAES301995";1,37508154529092;0,750492474515253;"Ciencias Naturales";-0,337161838387341;0,904924006185907;0,575690205264403;0,890450503841767;0,585034013605442;3;"Q4";"Reconoce los procesos de divisón celular (mitosis y meiosis)"
"249";"EAES302379";0,584617204092642;-0,150177577932935;"Ciencias Naturales";0,346766202729729;0,84289961203942;0,427443550627513;0,862191070039011;0,441048034934498;4;"Q3";"Identifica reacciones químicas a partir de ecuaciones químicas"
"133";"EAES302027";-0,926387644393251;-0,161083888166064;"Ciencias Naturales";2,07688652746648;0,801989608888929;0,159006157038687;0,867567207926551;0,181818181818182;2;"Q2";"Diferencia las estructuras encargadas de un proceso fisiológico de los sistemas nervioso, endocrino, reproductivo, osteoartromuscular o inmunitario del cuerpo humano."
"13";"EAES301596";-1,25984001754891;-0,369101553721842;"Ciencias Naturales";2,49238068282754;0,832849824254441;0,111473377631191;0,853183851497816;0,13;2;"Q3";"Identifica la configuración electrónica de los átomos desde el modelo mecánico-cuántico de la materia."
"110";"EAES301994";-1,06172397061519;2,53115027480697;"Ciencias Naturales";1,88632400265689;1,17912667105979;0,0975969566837868;0,913190824114246;0,131313131313131;2;"Q4";"Reconoce los procesos de divisón celular (mitosis y meiosis)"
"186";"EAES302217";1,55033930664309;0,375833354134519;"Ciencias Naturales";-0,537865249103352;0,876522303051486;0,615727104316719;0,879885495479559;0,611374407582938;3;"Q4";"Relaciona teorías de evolución biológica con sus postulados."
"901";"EAES301714";0,755441720625396;2,42247733051035;"Ciencias Naturales";0,170031447515354;1,17912667105979;0,450045065402682;0,911292392341352;0,464646464646465;4;"Q4";"Identifica las estrategias de conservación de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana."
"62";"EAES301670";-0,423899576565521;0,8804084982241;"Ciencias Naturales";1,38004557496771;0,904924006185907;0,222901633670557;0,893302986992964;0,260770975056689;5;"Q4";"Reconoce las leyes de Newton y su aplicación"
"205";"EAES302240";-0,535984203338034;-0,301469682192519;"Ciencias Naturales";1,49158476800919;0,860113251357949;0,217051575470144;0,851376947606362;0,25;5;"Q3";"Relaciona la estructura de la célula animal, vegetal y procariota con los organelos y sus procesos vitales."
"94";"EAES302285";-1,15574286874248;-0,287232447744847;"Ciencias Sociales";2,30458746614239;0,860113251357949;0,121083850137727;0,851712579454059;0,147727272727273;2;"Q3";"Analiza los aspectos fundamentales de las culturas: maya, azteca o inca."
"60";"EAES302128";0,103774384435647;-0,391871318491024;"Ciencias Sociales";0,804731461037091;0,860113251357949;0,333552699875807;0,848282873066042;0,363636363636364;5;"Q3";"Reconoce las caractrerísticas de la democracia deliberativa y los principios de la participación política."
"351";"EAES301930";-1,45880501643026;-0,0339449741168768;"Ciencias Sociales";2,88815864128656;0,824278623521482;0,084660380994362;0,869066711423409;0,103448275862069;1;"Q2";"Reconoce el impacto de la conquista en los aspectos ecológicos, culturales o sociales."
"1181";"EAES302313";-0,603521874992119;-0,320684095397462;"Ciencias Sociales";1,57003333627244;0,860113251357949;0,20580392563265;0,850511696034735;0,238636363636364;2;"Q3";"Reconoce el concepto de la igualdad natural de los seres humanos."
"1291";"EAES302325";-0,882141720024524;0,885115272398603;"Ciencias Sociales";1,93161117352255;0,904924006185907;0,148304519510393;0,893170154271762;0,18140589569161;2;"Q4";"Reconoce los aportes culturales de los pueblos indígena, afro, mestizo o montuvio a favor de la plurinacionalidad y la sociedad intercultural."
"981";"EAES302291";-0,122853600610861;2,4649923459671;"Ciencias Sociales";0,879662335853793;1,17912667105979;0,261684179014004;0,911430615969716;0,303030303030303;5;"Q4";"Reconoce el impacto de la conquista en los aspectos ecológicos, culturales o sociales."
"1261";"EAES302322";-0,473076158693211;-0,349301260466976;"Ciencias Sociales";1,41661240571146;0,860113251357949;0,228209847194273;0,849414392645254;0,261363636363636;5;"Q3";"Reconoce las características de los derechos y deberes civiles políticos o de la representación política."
"371";"EAES301934";1,28491365050092;-0,30049254602953;"Ciencias Sociales";-0,319451993271117;0,801989608888929;0,56370124549679;0,864105331719473;0,564935064935065;3;"Q2";"Identifica los procesos históricos que propiciaron el reconocimiento de los derechos humanos."
"19";"EAES301783";0,631743863376039;-0,268807829275517;"Ciencias Sociales";0,322394915291686;0,801989608888929;0,435718371117154;0,864535948421198;0,45021645021645;4;"Q2";"Reconoce la influencia de la civilización griega en el imperio romano, imperio bizantino, Europa del Renacimiento o en la cultura occidental."
"91";"EAES302282";-0,707361777620163;0,904295970110878;"Ciencias Sociales";1,7106985138726;0,904924006185907;0,175367775921646;0,894072612832462;0,210884353741497;2;"Q4";"Analiza los aspectos fundamentales de las culturas: maya, azteca o inca."
"591";"EAES302127";-0,508294757343417;-0,410595921316421;"Ciencias Sociales";1,47041727660174;0,832849824254441;0,227121494634694;0,851664221094529;0,25;5;"Q3";"Reconoce los principios de argumentación lógica, lógica simbólica, falacias y paradojas."
"128";"EAES302324";-0,508232777442329;-0,405441551809266;"Ciencias Sociales";1,47077541046698;0,832849824254441;0,227069141076307;0,851882052853235;0,25;5;"Q3";"Reconoce las caractrerísticas de la democracia deliberativa y los principios de la participación política."
"1331";"EAES302329";1,1396815028242;-0,582876304115561;"Ciencias Sociales";-0,206650313293475;0,832849824254441;0,54292127254271;0,846524850117006;0,54;4;"Q3";"Reconoce los aportes culturales de los pueblos indígena, afro, mestizo o montuvio a favor de la plurinacionalidad y la sociedad intercultural."
"112";"EAES301771";-0,215455622137983;-0,204052108226623;"Ciencias Sociales";1,19895069905234;0,801989608888929;0,276568766274669;0,866222317494714;0,300865800865801;5;"Q2";"Reconoce el impacto de los aportes tecnológicos, económicos y científicos de las culturas de Mesopotamia, Egipto, China o India en la sociedad actual ."
"120";"EAES302315";-0,466582938851107;0,514548428905442;"Ciencias Sociales";1,42544088156154;0,876522303051486;0,222798698717978;0,882895429982866;0,251184834123223;5;"Q4";"Reconoce las características de los derechos y deberes civiles políticos o de la representación política."
"69";"EAES302253";-0,151974246639487;-0,396108071973726;"Ciencias Sociales";1,06468472295158;0,860113251357949;0,285824766515212;0,847780357610642;0,318181818181818;5;"Q3";"Reconoce el papel de la Iglesia en la sociedad occidental."
