;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
20;EAES301748;Lengua y Literatura;0.1885098;0.86011325;0.45955363;0.47727273;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
781;EAES301859;Lengua y Literatura;1.72497841;0.78296624;0.20577232;0.22902494;Selecciona un vocabulario preciso para expresar matices en funci√≥n de producir determinados efectos en los lectores.
391;EAES301750;Lengua y Literatura;0.08917106;0.8765223;0.48046984;0.492891;Valora el contenido de un texto oral con contradicciones. ambig√ºedades. falacias. distorsiones o desviaciones en el discurso.
104;EAES301906;Lengua y Literatura;1.02139299;0.8765223;0.29002271;0.31753555;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
46;EAES302090;Lengua y Literatura;1.29736837;0.80198961;0.26105817;0.28571429;Analiza los significados connotativos del discurso.
36;EAES301832;Lengua y Literatura;0.1623726;0.90492401;0.46333223;0.48752834;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
116;EAES302051;Lengua y Literatura;0.1656827;0.80835417;0.46656738;0.47931873;Identifica la idea principal de un texto argumentativo.
331;EAES302107;Lengua y Literatura;-1.3420433;0.86011325;0.76029713;0.73863636;Infiere el contenido impl√≠cito de un texto oral.
88;EAES302117;Lengua y Literatura;0.96174674;0.83284982;0.30981366;0.33;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
41;EAES301727;Lengua y Literatura;0.73979764;0.86011325;0.3460812;0.375;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
9;EAES302060;Lengua y Literatura;0.19657816;0.90492401;0.45564483;0.48072562;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
115;EAES302103;Lengua y Literatura;0.61566196;0.86011325;0.37062441;0.39772727;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
64;EAES302084;Lengua y Literatura;-0.1977254;0.80835417;0.53987318;0.54501217;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
49;EAES301692;Ciencias Naturales;0.79600911;0.8765223;0.33231798;0.35781991;Analiza la importancia de los √°cidos nucl√©icos como portadores y transmisores de la informaci√≥n gen√©tica.
341;EAES301700;Ciencias Naturales;1.18503719;0.80198961;0.2788069;0.3030303;Analiza la transmisi√≥n de la informaci√≥n gen√©tica a la descendencia. la teor√≠a cromos√≥mica y las leyes de Mendel
85;EAES301657;Ciencias Naturales;0.32931917;0.78296624;0.43589333;0.44897959;Analiza las caracter√≠sticas del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje. empleando los conceptos de aceleraci√≥n normal o centr√≠peta.
82;EAES301678;Ciencias Naturales;1.49064214;0.78296624;0.2373755;0.26077098;Calcula. mediante ejercicios de aplicaci√≥n. el trabajo mec√°nico con fuerzas constantes. energ√≠a mec√°nica. conservaci√≥n de energ√≠a o potencia.
177;EAES301642;Ciencias Naturales;2.04785683;0.61637473;0.22058729;0.2371134;Determina magnitudes cinem√°ticas para el Movimiento Rectil√≠neo Uniforme (MRU) o Rectil√≠neo Uniformemente Variado (MRUV).
1041;EAES302026;Ciencias Naturales;0.59276617;0.8765223;0.37295214;0.3957346;Diferencia las estructuras encargadas de un proceso fisiol√≥gico de los sistemas nervioso. endocrino. reproductivo. osteoartromuscular o inmunitario del cuerpo humano.
91;EAES302002;Ciencias Naturales;0.52325983;0.78296624;0.39898531;0.41496599;Diferencia los procesos fisiol√≥gicos que realizan las plantas. sus estructuras y funciones.
126;EAES302158;Ciencias Naturales;0.04559658;0.80198961;0.49085902;0.5;Discrimina entre los tipos de compuestos binarios. ternarios  o cuaternario de acuerdo a su enlace qu√≠mico o n√∫mero de oxidaci√≥n y emite su nomenclatura.
79;EAES302177;Ciencias Naturales;1.67486645;0.61637473;0.26262966;0.27835052;Discrimina grupos funcionales desde la estructura de los compuestos org√°nicos oxigenados o nitrogenados.
18;EAES302012;Ciencias Naturales;0.26456756;0.61637473;0.45932192;0.46391753;Discrimina las estructuras encargados de un proceso fisiol√≥gico de los sistemas: digestivo. excretor. circulatorio o respiratorio del ser humano.
19;EAES301675;Ciencias Naturales;-0.4339453;0.90492401;0.5969295;0.6031746;Identifica la capacidad que tienen los materiales para conducir la electricidad.
58;EAES301587;Ciencias Naturales;0.86112499;0.8765223;0.31977734;0.34597156;Identifica la configuraci√≥n electr√≥nica de los √°tomos desde el modelo mec√°nico-cu√°ntico de la materia.
1371;EAES302166;Ciencias Naturales;3.54679982;0.78296624;0.05857843;0.07029478;Identifica la estructura del √°tomo de carbono y su capacidad de unirse consigo mismo con diferentes enlaces entre carbono-carbono. formando mol√©culas org√°nicas.
38;EAES302331;Ciencias Naturales;2.67152917;0.86011325;0.09130386;0.11363636;Identifica la Ley de Coulomb y sus aplicaciones
1121;EAES301709;Ciencias Naturales;0.47008584;0.78296624;0.40900955;0.42403628;Identifica las estrategias de conservaci√≥n de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana.
73;EAES302384;Ciencias Naturales;2.26142339;1.17912667;0.06497901;0.09090909;Identifica las leyes de la conservaci√≥n de la energ√≠a en las reacciones qu√≠micas
195;EAES301598;Ciencias Naturales;2.46578013;0.61637473;0.17948441;0.19587629;Identifica los tipos de enlaces qu√≠micos de acuerdo a las propiedades de los √°tomos de ceder o ganar electrones.
197;EAES301626;Ciencias Naturales;1.09249446;0.61637473;0.33773908;0.35051546;Identifica reacciones √°cido-base o el balance del pH en las soluciones cotidianas.
641;EAES302204;Ciencias Naturales;1.22740028;0.78296624;0.27667542;0.29931973;Identifica reacciones qu√≠micas a partir de ecuaciones qu√≠micas
17;EAES301637;Ciencias Naturales;2.46546839;0.61637473;0.17951271;0.19587629;Reconoce disoluciones de diferentes concentraciones en soluciones de uso cotidiano.
231;EAES302343;Ciencias Naturales;1.55491348;0.90492401;0.19669526;0.23356009;Reconoce el teorema de conservaci√≥n de la energ√≠a
67;EAES302198;Ciencias Naturales;1.62226674;0.78296624;0.21922643;0.24263039;Reconoce grupos funcionales desde la estructura de las biomol√©culas (prote√≠nas. l√≠pidos. √°cidos nucl√©icos. az√∫cares)
227;EAES302349;Ciencias Naturales;1.75982239;0.90492401;0.16903168;0.20408163;Reconoce la ley de gravitaci√≥n universal de Newton.
200;EAES301615;Ciencias Naturales;2.10059037;0.78296624;0.16182772;0.18367347;Reconoce la masa molecular (molar) de los compuestos qu√≠micos de una ecuaci√≥n para cumplir las leyes de transformaci√≥n de la materia.
12;EAES301664;Ciencias Naturales;2.25035705;0.61637473;0.19987701;0.21649485;Reconoce las leyes de Newton y su aplicaci√≥n
94;EAES301578;Ciencias Naturales;1.46636574;1.17912667;0.15071157;0.19191919;Reconoce las propiedades y leyes de los gases y su aplicaci√≥n.
244;EAES302359;Ciencias Naturales;2.55209921;0.84289961;0.10422255;0.12227074;Reconoce las tres leyes de Kepler
210;EAES301991;Ciencias Naturales;0.17407736;0.8765223;0.46192816;0.47630332;Reconoce los procesos de divis√≥n celular (mitosis y meiosis)
180;EAES302364;Ciencias Naturales;1.30443127;0.8765223;0.24170343;0.27014218;Reconoce. relaciona y expresa magntitudes f√≠sicas b√°sicas (longitud. masa. tiempo) y derivadas.
138;EAES302235;Ciencias Naturales;0.45589288;0.77785522;0.41226286;0.42583732;Relaciona la estructura de la c√©lula animal. vegetal y procariota con los organelos y sus procesos vitales.
921;EAES302221;Ciencias Naturales;0.2194715;0.90492401;0.4505113;0.47619048;Relaciona teor√≠as de evoluci√≥n biol√≥gica con sus postulados.
1161;EAES302281;Ciencias Sociales;0.74074103;1.17912667;0.29454161;0.33333333;Analiza los aspectos fundamentales de las culturas: maya. azteca o inca.
105;EAES301756;Ciencias Sociales;1.09127625;0.61637473;0.33790705;0.35051546;Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.
21;EAES302273;Ciencias Sociales;0.9279924;1.17912667;0.25082435;0.29292929;Distingue las causas o consecuencias de la Revoluci√≥n francesa.
1042;EAES301933;Ciencias Sociales;1.21681162;0.8765223;0.25605735;0.28436019;Identifica los procesos hist√≥ricos que propiciaron el reconocimiento de los derechos humanos.
1271;EAES301967;Ciencias Sociales;1.42793586;0.80198961;0.2413688;0.26623377;Reconoce el concepto de la igualdad natural de los seres humanos.
201;EAES302289;Ciencias Sociales;0.05754089;0.80198961;0.48846525;0.4978355;Reconoce el impacto de la conquista en los aspectos ecol√≥gicos. culturales o sociales.
50;EAES301770;Ciencias Sociales;0.58016867;0.8765223;0.37553801;0.39810427;Reconoce el impacto de los aportes tecnol√≥gicos. econ√≥micos y cient√≠ficos de las culturas de Mesopotamia. Egipto. China o India en la sociedad actual .
32;EAES302250;Ciencias Sociales;0.23089521;0.90492401;0.44795356;0.4739229;Reconoce el papel de la Iglesia en la sociedad occidental.
22;EAES302258;Ciencias Sociales;1.97939334;0.8765223;0.14995138;0.17535545;Reconoce la contribuci√≥n del Renacimiento al pensamiento humanista o cient√≠fico del mundo.
80;EAES301780;Ciencias Sociales;1.41801708;0.61637473;0.29441646;0.30927835;Reconoce la influencia de la civilizaci√≥n griega en el imperio romano. imperio bizantino. Europa del Renacimiento o en la cultura occidental.
381;EAES302316;Ciencias Sociales;-0.2579249;0.80198961;0.55152966;0.55411255;Reconoce las caracter√≠sticas de los derechos y deberes civiles pol√≠ticos o de la representaci√≥n pol√≠tica.
141;EAES301919;Ciencias Sociales;1.3486964;0.78296624;0.25807771;0.28117914;Reconoce las caractrer√≠sticas de la democracia deliberativa y los principios de la participaci√≥n pol√≠tica.
62;EAES301972;Ciencias Sociales;-0.0700524;0.8765223;0.51534581;0.52369668;Reconoce las causas y consecuencias de los modelos econ√≥micos en los procesos de migraci√≥n.
1251;EAES301980;Ciencias Sociales;0.8742637;0.8765223;0.31727751;0.3436019;Reconoce los aportes culturales de los pueblos ind√≠gena. afro. mestizo o montuvio a favor de la plurinacionalidad y la sociedad intercultural.
731;EAES302124;Ciencias Sociales;0.87636537;0.80835417;0.32994947;0.35279805;Reconoce los principios de argumentaci√≥n l√≥gica. l√≥gica simb√≥lica. falacias y paradojas.
87;EAES302298;Ciencias Sociales;2.29651742;0.84289961;0.12611731;0.14628821;Relaciona los antecedentes hist√≥ricos de las comunidad afrodescendiente. indigena y mestiza con sus caracter√≠sticas culturales.
