;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
9;EAES301461;Matemática;1.20118877;0.86011325;0.26247225;0.295454545;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
115;EAES301497;Matemática;0.92813221;1.17912667;0.25079337;0.292929293;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
64;EAES301512;Matemática;1.5282105;1.17912667;0.1416134;0.181818182;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
49;EAES301695;Ciencias Naturales;0.7401354;1.17912667;0.29469002;0.333333333;Analiza la importancia de los √°cidos nucl√©icos como portadores y transmisores de la informaci√≥n gen√©tica.
341;EAES301703;Ciencias Naturales;1.00855222;0.90492401;0.28645519;0.324263039;Analiza la transmisi√≥n de la informaci√≥n gen√©tica a la descendencia. la teor√≠a cromos√≥mica y las leyes de Mendel
85;EAES301659;Ciencias Naturales;1.11677589;0.80198961;0.28994675;0.313852814;Analiza las caracter√≠sticas del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje. empleando los conceptos de aceleraci√≥n normal o centr√≠peta.
82;EAES301685;Ciencias Naturales;1.99637025;0.84289961;0.15673303;0.179039301;Calcula. mediante ejercicios de aplicaci√≥n. el trabajo mec√°nico con fuerzas constantes. energ√≠a mec√°nica. conservaci√≥n de energ√≠a o potencia.
177;EAES301642;Ciencias Naturales;2.04785683;0.61637473;0.22058729;0.237113402;Determina magnitudes cinem√°ticas para el Movimiento Rectil√≠neo Uniforme (MRU) o Rectil√≠neo Uniformemente Variado (MRUV).
1041;EAES302023;Ciencias Naturales;1.2031462;0.82427862;0.27057096;0.300492611;Diferencia las estructuras encargadas de un proceso fisiol√≥gico de los sistemas nervioso. endocrino. reproductivo. osteoartromuscular o inmunitario del cuerpo humano.
91;EAES302003;Ciencias Naturales;0.10132196;0.8765223;0.47781184;0.490521327;Diferencia los procesos fisiol√≥gicos que realizan las plantas. sus estructuras y funciones.
126;EAES302156;Ciencias Naturales;-0.1085467;0.78296624;0.52123432;0.526077098;Discrimina entre los tipos de compuestos binarios. ternarios  o cuaternario de acuerdo a su enlace qu√≠mico o n√∫mero de oxidaci√≥n y emite su nomenclatura.
79;EAES302180;Ciencias Naturales;0.95729022;0.80198961;0.31696888;0.33982684;Discrimina grupos funcionales desde la estructura de los compuestos org√°nicos oxigenados o nitrogenados.
18;EAES302017;Ciencias Naturales;0.92793668;1.17912667;0.25083669;0.292929293;Discrimina las estructuras encargados de un proceso fisiol√≥gico de los sistemas: digestivo. excretor. circulatorio o respiratorio del ser humano.
19;EAES301791;Ciencias Naturales;0.13757275;0.84289961;0.47104244;0.480349345;Identifica la capacidad que tienen los materiales para conducir la electricidad.
58;EAES301593;Ciencias Naturales;1.52486937;0.80835417;0.22572066;0.250608273;Identifica la configuraci√≥n electr√≥nica de los √°tomos desde el modelo mec√°nico-cu√°ntico de la materia.
1371;EAES302172;Ciencias Naturales;1.37545117;0.80835417;0.24752584;0.272506083;Identifica la estructura del √°tomo de carbono y su capacidad de unirse consigo mismo con diferentes enlaces entre carbono-carbono. formando mol√©culas org√°nicas.
38;EAES301654;Ciencias Naturales;2.16057601;0.80835417;0.14848785;0.170316302;Identifica la Ley de Coulomb y sus aplicaciones
1121;EAES301715;Ciencias Naturales;-0.5575179;0.90492401;0.62351892;0.62585034;Identifica las estrategias de conservaci√≥n de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana.
73;EAES302211;Ciencias Naturales;0.00522835;0.82427862;0.4989226;0.512315271;Identifica las leyes de la conservaci√≥n de la energ√≠a en las reacciones qu√≠micas
195;EAES301598;Ciencias Naturales;2.46578013;0.61637473;0.17948441;0.195876289;Identifica los tipos de enlaces qu√≠micos de acuerdo a las propiedades de los √°tomos de ceder o ganar electrones.
197;EAES301629;Ciencias Naturales;1.35456046;0.80198961;0.25230746;0.277056277;Identifica reacciones √°cido-base o el balance del pH en las soluciones cotidianas.
641;EAES302207;Ciencias Naturales;1.06250844;0.77785522;0.30439035;0.325358852;Identifica reacciones qu√≠micas a partir de ecuaciones qu√≠micas
17;EAES302193;Ciencias Naturales;2.4788052;0.84289961;0.11013294;0.128820961;Reconoce disoluciones de diferentes concentraciones en soluciones de uso cotidiano.
231;EAES301800;Ciencias Naturales;2.04066444;0.78296624;0.16829333;0.19047619;Reconoce el teorema de conservaci√≥n de la energ√≠a
67;EAES302200;Ciencias Naturales;0.93115752;0.80198961;0.32152362;0.344155844;Reconoce grupos funcionales desde la estructura de las biomol√©culas (prote√≠nas. l√≠pidos. √°cidos nucl√©icos. az√∫cares)
227;EAES302352;Ciencias Naturales;1.99786356;0.86011325;0.1520788;0.181818182;Reconoce la ley de gravitaci√≥n universal de Newton.
200;EAES301618;Ciencias Naturales;1.3797551;0.77785522;0.25478557;0.277511962;Reconoce la masa molecular (molar) de los compuestos qu√≠micos de una ecuaci√≥n para cumplir las leyes de transformaci√≥n de la materia.
12;EAES301670;Ciencias Naturales;1.38004557;0.90492401;0.22290163;0.260770975;Reconoce las leyes de Newton y su aplicaci√≥n
94;EAES301581;Ciencias Naturales;2.18820011;0.8765223;0.12808407;0.151658768;Reconoce las propiedades y leyes de los gases y su aplicaci√≥n.
244;EAES302356;Ciencias Naturales;2.15616746;1.17912667;0.07293909;0.101010101;Reconoce las tres leyes de Kepler
210;EAES301994;Ciencias Naturales;1.886324;1.17912667;0.09759696;0.131313131;Reconoce los procesos de divis√≥n celular (mitosis y meiosis)
180;EAES302365;Ciencias Naturales;1.59498512;0.80198961;0.21769299;0.242424242;Reconoce. relaciona y expresa magntitudes f√≠sicas b√°sicas (longitud. masa. tiempo) y derivadas.
138;EAES302241;Ciencias Naturales;0.3925676;0.83284982;0.41898296;0.43;Relaciona la estructura de la c√©lula animal. vegetal y procariota con los organelos y sus procesos vitales.
921;EAES302220;Ciencias Naturales;1.34655354;1.17912667;0.16969968;0.212121212;Relaciona teor√≠as de evoluci√≥n biol√≥gica con sus postulados.
1161;EAES302286;Ciencias Sociales;2.28403763;0.83284982;0.12985286;0.15;Analiza los aspectos fundamentales de las culturas: maya. azteca o inca.
105;EAES301759;Ciencias Sociales;-0.0146694;0.80198961;0.50294115;0.510822511;Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.
21;EAES302278;Ciencias Sociales;2.18615412;0.83284982;0.13934533;0.16;Distingue las causas o consecuencias de la Revoluci√≥n francesa.
1042;EAES302308;Ciencias Sociales;0.02153505;0.84289961;0.49546215;0.502183406;Identifica los procesos hist√≥ricos que propiciaron el reconocimiento de los derechos humanos.
1271;EAES302313;Ciencias Sociales;1.57003334;0.86011325;0.20580393;0.238636364;Reconoce el concepto de la igualdad natural de los seres humanos.
201;EAES302292;Ciencias Sociales;2.33042309;0.90492401;0.10823906;0.136054422;Reconoce el impacto de la conquista en los aspectos ecol√≥gicos. culturales o sociales.
50;EAES301773;Ciencias Sociales;0.64963748;1.17912667;0.31734397;0.353535354;Reconoce el impacto de los aportes tecnol√≥gicos. econ√≥micos y cient√≠ficos de las culturas de Mesopotamia. Egipto. China o India en la sociedad actual .
32;EAES302252;Ciencias Sociales;0.77563023;0.84289961;0.34213858;0.362445415;Reconoce el papel de la Iglesia en la sociedad occidental.
22;EAES302257;Ciencias Sociales;1.08129576;0.78296624;0.30014277;0.321995465;Reconoce la contribuci√≥n del Renacimiento al pensamiento humanista o cient√≠fico del mundo.
80;EAES301785;Ciencias Sociales;0.92798849;1.17912667;0.25082521;0.292929293;Reconoce la influencia de la civilizaci√≥n griega en el imperio romano. imperio bizantino. Europa del Renacimiento o en la cultura occidental.
381;EAES302316;Ciencias Sociales;-0.2579249;0.80198961;0.55152966;0.554112554;Reconoce las caracter√≠sticas de los derechos y deberes civiles pol√≠ticos o de la representaci√≥n pol√≠tica.
141;EAES301920;Ciencias Sociales;0.78272042;0.8765223;0.33490747;0.360189573;Reconoce las caractrer√≠sticas de la democracia deliberativa y los principios de la participaci√≥n pol√≠tica.
62;EAES302302;Ciencias Sociales;1.80741275;1.17912667;0.10610411;0.141414141;Reconoce las causas y consecuencias de los modelos econ√≥micos en los procesos de migraci√≥n.
1251;EAES302326;Ciencias Sociales;-0.4747035;0.80835417;0.59477207;0.593673966;Reconoce los aportes culturales de los pueblos ind√≠gena. afro. mestizo o montuvio a favor de la plurinacionalidad y la sociedad intercultural.
731;EAES302124;Ciencias Sociales;0.87636537;0.80835417;0.32994947;0.352798054;Reconoce los principios de argumentaci√≥n l√≥gica. l√≥gica simb√≥lica. falacias y paradojas.
87;EAES302298;Ciencias Sociales;2.29651742;0.84289961;0.12611731;0.14628821;Relaciona los antecedentes hist√≥ricos de las comunidad afrodescendiente. indigena y mestiza con sus caracter√≠sticas culturales.
