;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
76;EAES301731;Lengua y Literatura;0.61565735;0.86011325;0.37062534;0.39772727;Analiza las causas y las consecuencias de la diglosia con relaci√≥n a las lenguas originarias en el √°mbito educativo. la identidad. derechos colectivos y la vida cotidiana.
112;EAES301883;Lengua y Literatura;0.29036235;0.77785522;0.44377385;0.45454545;Analiza los significados connotativos del discurso.
121;EAES301822;Lengua y Literatura;2.40666867;0.78296624;0.13189113;0.15192744;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
66;EAES301874;Lengua y Literatura;0.63290539;0.61637473;0.40369157;0.41237113;Identifica la idea principal de un texto argumentativo.
119;EAES301889;Lengua y Literatura;0.07257616;0.82427862;0.48504871;0.5;Infiere el contenido impl√≠cito de un texto oral.
92;EAES301836;Lengua y Literatura;0.12589443;0.8765223;0.47244064;0.48578199;Interpreta los aspectos formales (estructura) o el contenido de un texto. en funci√≥n del contexto sociocultural y el punto de vista del autor.
96;EAES302071;Lengua y Literatura;-0.2447176;0.61637473;0.5376381;0.53608247;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
53;EAES301850;Lengua y Literatura;0.41370973;0.90492401;0.40748408;0.43764172;Organiza la informaci√≥n presentada mediante el uso de esquemas.
4;EAES301817;Lengua y Literatura;-0.9118728;0.90492401;0.69533386;0.68707483;Reconoce la aplicaci√≥n de argumentos y contraargumentos cuya intenci√≥n es persuadir.
60;EAES301722;Lengua y Literatura;0.44200317;0.77785522;0.41488319;0.42822967;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
761;EAES301903;Lengua y Literatura;0.4217081;0.82427862;0.41396333;0.43596059;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
20;EAES302035;Lengua y Literatura;-0.0215835;0.82427862;0.50444759;0.51724138;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
781;EAES301877;Lengua y Literatura;2.1947147;0.80198961;0.14677301;0.16883117;Selecciona un vocabulario preciso para expresar matices en funci√≥n de producir determinados efectos en los lectores.
391;EAES301753;Lengua y Literatura;0.56050897;1.17912667;0.34053498;0.37373737;Valora el contenido de un texto oral con contradicciones. ambig√ºedades. falacias. distorsiones o desviaciones en el discurso.
104;EAES301907;Lengua y Literatura;-0.2455503;0.80198961;0.5490737;0.55194805;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
46;EAES302093;Lengua y Literatura;-0.4583977;0.90492401;0.60224188;0.60770975;Analiza los significados connotativos del discurso.
36;EAES301893;Lengua y Literatura;-0.1162022;0.80835417;0.52346588;0.53041363;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
116;EAES302052;Lengua y Literatura;0.81248372;0.84289961;0.33518143;0.3558952;Identifica la idea principal de un texto argumentativo.
331;EAES302097;Lengua y Literatura;0.42868705;1.17912667;0.37625458;0.4040404;Infiere el contenido impl√≠cito de un texto oral.
88;EAES302067;Lengua y Literatura;-0.3958285;0.8765223;0.58587837;0.58530806;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
41;EAES301728;Lengua y Literatura;1.54148621;0.83284982;0.21689957;0.24;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
9;EAES302061;Lengua y Literatura;1.29535522;0.80835417;0.25978126;0.28467153;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
115;EAES302104;Lengua y Literatura;1.84251575;0.83284982;0.17733056;0.2;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
64;EAES302112;Lengua y Literatura;0.21287077;1.17912667;0.43757699;0.45454545;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
49;EAES301693;Ciencias Naturales;0.57778069;0.80198961;0.3861857;0.4047619;Analiza la importancia de los √°cidos nucl√©icos como portadores y transmisores de la informaci√≥n gen√©tica.
341;EAES301706;Ciencias Naturales;2.96953093;0.86011325;0.07214932;0.09090909;Analiza la transmisi√≥n de la informaci√≥n gen√©tica a la descendencia. la teor√≠a cromos√≥mica y las leyes de Mendel
85;EAES301658;Ciencias Naturales;1.60124249;0.8765223;0.19725738;0.22511848;Analiza las caracter√≠sticas del movimiento circular uniforme (MCU) con base en un objeto que gira en torno a un eje. empleando los conceptos de aceleraci√≥n normal o centr√≠peta.
82;EAES301679;Ciencias Naturales;1.21682491;0.8765223;0.25605513;0.28436019;Calcula. mediante ejercicios de aplicaci√≥n. el trabajo mec√°nico con fuerzas constantes. energ√≠a mec√°nica. conservaci√≥n de energ√≠a o potencia.
177;EAES301643;Ciencias Naturales;1.57208121;0.78296624;0.2260263;0.24943311;Determina magnitudes cinem√°ticas para el Movimiento Rectil√≠neo Uniforme (MRU) o Rectil√≠neo Uniformemente Variado (MRUV).
1041;EAES302027;Ciencias Naturales;2.07688653;0.80198961;0.15900616;0.18181818;Diferencia las estructuras encargadas de un proceso fisiol√≥gico de los sistemas nervioso. endocrino. reproductivo. osteoartromuscular o inmunitario del cuerpo humano.
91;EAES302003;Ciencias Naturales;0.10132196;0.8765223;0.47781184;0.49052133;Diferencia los procesos fisiol√≥gicos que realizan las plantas. sus estructuras y funciones.
126;EAES302160;Ciencias Naturales;1.02608276;1.17912667;0.22972201;0.27272727;Discrimina entre los tipos de compuestos binarios. ternarios  o cuaternario de acuerdo a su enlace qu√≠mico o n√∫mero de oxidaci√≥n y emite su nomenclatura.
79;EAES302178;Ciencias Naturales;1.74232608;0.78296624;0.20356138;0.22675737;Discrimina grupos funcionales desde la estructura de los compuestos org√°nicos oxigenados o nitrogenados.
18;EAES302013;Ciencias Naturales;1.34884392;0.78296624;0.2580556;0.28117914;Discrimina las estructuras encargados de un proceso fisiol√≥gico de los sistemas: digestivo. excretor. circulatorio o respiratorio del ser humano.
19;EAES301674;Ciencias Naturales;1.59350307;1.17912667;0.13251045;0.17171717;Identifica la capacidad que tienen los materiales para conducir la electricidad.
58;EAES301591;Ciencias Naturales;1.18077613;1.17912667;0.19904328;0.24242424;Identifica la configuraci√≥n electr√≥nica de los √°tomos desde el modelo mec√°nico-cu√°ntico de la materia.
1371;EAES302170;Ciencias Naturales;2.37625406;1.17912667;0.05722134;0.08080808;Identifica la estructura del √°tomo de carbono y su capacidad de unirse consigo mismo con diferentes enlaces entre carbono-carbono. formando mol√©culas org√°nicas.
38;EAES301652;Ciencias Naturales;1.40573288;1.17912667;0.16009288;0.2020202;Identifica la Ley de Coulomb y sus aplicaciones
1121;EAES301710;Ciencias Naturales;1.12741564;0.82427862;0.28306582;0.31280788;Identifica las estrategias de conservaci√≥n de la biodiversidad y los recursos naturales que disminuyen los efectos negativos de la actividad humana.
73;EAES302385;Ciencias Naturales;1.46598017;0.90492401;0.20972221;0.24716553;Identifica las leyes de la conservaci√≥n de la energ√≠a en las reacciones qu√≠micas
195;EAES301599;Ciencias Naturales;1.88700773;0.78296624;0.18581087;0.20861678;Identifica los tipos de enlaces qu√≠micos de acuerdo a las propiedades de los √°tomos de ceder o ganar electrones.
197;EAES301628;Ciencias Naturales;1.88324574;0.8765223;0.16101343;0.18720379;Identifica reacciones √°cido-base o el balance del pH en las soluciones cotidianas.
641;EAES302205;Ciencias Naturales;2.34847162;0.8765223;0.11319755;0.13507109;Identifica reacciones qu√≠micas a partir de ecuaciones qu√≠micas
17;EAES301639;Ciencias Naturales;1.23129313;0.8765223;0.25364686;0.28199052;Reconoce disoluciones de diferentes concentraciones en soluciones de uso cotidiano.
231;EAES302344;Ciencias Naturales;0.96276556;0.80835417;0.31469598;0.33819951;Reconoce el teorema de conservaci√≥n de la energ√≠a
67;EAES302199;Ciencias Naturales;1.02141757;0.8765223;0.29001828;0.31753555;Reconoce grupos funcionales desde la estructura de las biomol√©culas (prote√≠nas. l√≠pidos. √°cidos nucl√©icos. az√∫cares)
227;EAES302350;Ciencias Naturales;1.8698272;0.80835417;0.18071917;0.20437956;Reconoce la ley de gravitaci√≥n universal de Newton.
200;EAES301616;Ciencias Naturales;1.3794138;0.8765223;0.22986264;0.25829384;Reconoce la masa molecular (molar) de los compuestos qu√≠micos de una ecuaci√≥n para cumplir las leyes de transformaci√≥n de la materia.
12;EAES301665;Ciencias Naturales;1.83184808;0.78296624;0.19243343;0.2154195;Reconoce las leyes de Newton y su aplicaci√≥n
94;EAES301584;Ciencias Naturales;2.27727497;0.82427862;0.13272128;0.15763547;Reconoce las propiedades y leyes de los gases y su aplicaci√≥n.
244;EAES302356;Ciencias Naturales;2.15616746;1.17912667;0.07293909;0.1010101;Reconoce las tres leyes de Kepler
210;EAES301992;Ciencias Naturales;1.94705209;0.80198961;0.17342928;0.1969697;Reconoce los procesos de divis√≥n celular (mitosis y meiosis)
180;EAES302367;Ciencias Naturales;1.66171106;1.17912667;0.12353548;0.16161616;Reconoce. relaciona y expresa magntitudes f√≠sicas b√°sicas (longitud. masa. tiempo) y derivadas.
138;EAES302236;Ciencias Naturales;0.97659404;1.17912667;0.24021008;0.28282828;Relaciona la estructura de la c√©lula animal. vegetal y procariota con los organelos y sus procesos vitales.
921;EAES302222;Ciencias Naturales;1.96918819;0.80835417;0.16913059;0.19221411;Relaciona teor√≠as de evoluci√≥n biol√≥gica con sus postulados.
1161;EAES302282;Ciencias Sociales;1.71069851;0.90492401;0.17536778;0.21088435;Analiza los aspectos fundamentales de las culturas: maya. azteca o inca.
105;EAES301759;Ciencias Sociales;-0.0146694;0.80198961;0.50294115;0.51082251;Distingue la influencia de las mujeres en su diversidad a lo largo de la historia.
21;EAES302274;Ciencias Sociales;1.40841154;0.90492401;0.21848698;0.25623583;Distingue las causas o consecuencias de la Revoluci√≥n francesa.
1042;EAES301964;Ciencias Sociales;-1.2944351;0.80835417;0.7400757;0.72262774;Identifica los procesos hist√≥ricos que propiciaron el reconocimiento de los derechos humanos.
1271;EAES302312;Ciencias Sociales;-0.6128804;0.84289961;0.6263516;0.61790393;Reconoce el concepto de la igualdad natural de los seres humanos.
201;EAES302291;Ciencias Sociales;0.87966234;1.17912667;0.26168418;0.3030303;Reconoce el impacto de la conquista en los aspectos ecol√≥gicos. culturales o sociales.
50;EAES301771;Ciencias Sociales;1.1989507;0.80198961;0.27656877;0.3008658;Reconoce el impacto de los aportes tecnol√≥gicos. econ√≥micos y cient√≠ficos de las culturas de Mesopotamia. Egipto. China o India en la sociedad actual .
32;EAES302251;Ciencias Sociales;2.03124027;0.80835417;0.16219833;0.18491484;Reconoce el papel de la Iglesia en la sociedad occidental.
22;EAES302260;Ciencias Sociales;0.46968683;0.77785522;0.4096655;0.42344498;Reconoce la contribuci√≥n del Renacimiento al pensamiento humanista o cient√≠fico del mundo.
80;EAES301781;Ciencias Sociales;1.8316983;0.78296624;0.19245166;0.2154195;Reconoce la influencia de la civilizaci√≥n griega en el imperio romano. imperio bizantino. Europa del Renacimiento o en la cultura occidental.
381;EAES302321;Ciencias Sociales;-0.7271643;0.84289961;0.6486081;0.63755459;Reconoce las caracter√≠sticas de los derechos y deberes civiles pol√≠ticos o de la representaci√≥n pol√≠tica.
141;EAES301920;Ciencias Sociales;0.78272042;0.8765223;0.33490747;0.36018957;Reconoce las caractrer√≠sticas de la democracia deliberativa y los principios de la participaci√≥n pol√≠tica.
62;EAES301973;Ciencias Sociales;0.77727842;0.80198961;0.34901557;0.37012987;Reconoce las causas y consecuencias de los modelos econ√≥micos en los procesos de migraci√≥n.
1251;EAES301981;Ciencias Sociales;0.67676473;0.80198961;0.36754617;0.38744589;Reconoce los aportes culturales de los pueblos ind√≠gena. afro. mestizo o montuvio a favor de la plurinacionalidad y la sociedad intercultural.
731;EAES302125;Ciencias Sociales;0.81260051;0.84289961;0.33515949;0.3558952;Reconoce los principios de argumentaci√≥n l√≥gica. l√≥gica simb√≥lica. falacias y paradojas.
87;EAES302299;Ciencias Sociales;1.73297026;0.86011325;0.18383909;0.21590909;Relaciona los antecedentes hist√≥ricos de las comunidad afrodescendiente. indigena y mestiza con sus caracter√≠sticas culturales.
